ID,Market,Survey date,Customer Name,Month,Quarter,NPS
1061,UK,13/08/2021,Teresa Evans,8,3,5
1062,US,24/01/2021,Carla Bullock,1,1,7
1063,UK,03/02/2021,Bryan Smith,2,1,9
1064,MEX,10/04/2021,Jorge Foster,4,2,1
1065,UK,06/04/2021,Bruce Bruce,4,2,5
1066,MEX,16/07/2021,Jennifer Garcia,7,3,4
1067,UK,15/03/2021,Jamie Patton,3,1,8
1068,US,24/09/2021,Sandra Kelley,9,3,0
1069,MEX,07/03/2021,Scott Collins,3,1,9
1070,MEX,12/12/2021,Laura Fuller,12,4,8
1071,UK,22/06/2021,Jeremy Coleman,6,2,8
1072,MEX,27/11/2021,Brian Stanton,11,4,7
1073,UK,25/12/2021,Brandi Smith,12,4,8
1074,US,01/07/2021,Brandy Cruz,7,3,2
1075,MEX,13/07/2021,Brittney Barry,7,3,9
1076,UK,23/05/2021,Margaret Ryan,5,2,1
1077,US,09/05/2021,Rachel Kramer,5,2,10
1078,US,11/03/2021,Anthony Salazar,3,1,10
1079,UK,22/04/2021,Patrick Carey,4,2,8
1080,US,16/01/2021,Corey Strong,1,1,10
1081,MEX,28/03/2021,Lori Moore,3,1,8
1082,MEX,01/01/2021,Roger Reid,1,1,10
1083,UK,24/06/2021,Amanda Reed,6,2,10
1084,MEX,14/11/2021,Nicole Gallagher,11,4,3
1085,US,28/09/2021,Christina Ellis,9,3,10
1086,MEX,15/05/2021,Kaitlin Soto,5,2,7
1087,MEX,24/12/2021,Jonathan Anderson,12,4,9
1088,US,02/10/2021,Wayne Hicks,10,4,0
1089,US,03/05/2021,Anna Turner,5,2,6
1090,UK,12/12/2021,Kimberly Nichols,12,4,9
1091,UK,01/10/2021,Kyle Simpson,10,4,10
1092,US,15/06/2021,Dustin Silva,6,2,0
1093,US,15/12/2021,Chris Lawrence,12,4,5
1094,UK,03/06/2021,Cassandra Martin MD,6,2,8
1095,UK,11/07/2021,Douglas Baxter,7,3,7
1096,UK,31/03/2021,John Blackburn,3,1,5
1097,UK,15/04/2021,Matthew Schwartz,4,2,9
1098,UK,22/03/2021,Daniel Miller,3,1,5
1099,UK,08/05/2021,Robyn Smith,5,2,5
1100,US,18/11/2021,James Cooper,11,4,5
1101,MEX,28/08/2021,Sonya Harding,8,3,10
1102,MEX,17/07/2021,David Barber,7,3,10
1103,UK,13/05/2021,John Butler,5,2,6
1104,UK,06/06/2021,Kevin Blankenship,6,2,8
1105,MEX,22/09/2021,Lacey Reyes,9,3,7
1106,UK,06/02/2021,Monica Wilson,2,1,6
1107,UK,10/07/2021,Taylor Smith,7,3,7
1108,MEX,25/07/2021,Margaret Boyd,7,3,9
1109,MEX,25/12/2021,Raymond Jackson,12,4,1
1110,US,24/08/2021,Bryan Jacobson,8,3,10
1111,MEX,20/12/2021,Shawn Watson,12,4,10
1112,US,14/09/2021,Robert Thomas,9,3,10
1113,US,28/05/2021,Joseph Nelson,5,2,10
1114,UK,26/02/2021,Frank Werner,2,1,7
1115,US,19/05/2021,Rebekah Hernandez,5,2,3
1116,UK,30/04/2021,Michelle Wallace,4,2,6
1117,MEX,04/01/2021,Jasmine Campbell,1,1,8
1118,MEX,15/10/2021,Kayla Hill,10,4,7
1119,MEX,21/11/2021,Thomas Schwartz,11,4,10
1120,US,30/12/2021,Susan Bowen,12,4,6
1121,UK,23/12/2021,Maria Strickland,12,4,10
1122,UK,25/08/2021,Heidi Stewart,8,3,10
1123,US,30/06/2021,Deborah Morrow,6,2,4
1124,MEX,19/04/2021,Richard Castillo,4,2,5
1125,UK,27/09/2021,Kristin Campbell,9,3,6
1126,UK,10/11/2021,Dr. Charles Brown,11,4,10
1127,MEX,06/08/2021,James Thomas,8,3,10
1128,MEX,14/02/2021,Paul Kelly,2,1,4
1129,US,24/10/2021,Carl Morales,10,4,10
1130,US,15/10/2021,Ian Thompson,10,4,7
1131,MEX,20/12/2021,Mary Lewis,12,4,0
1132,US,27/04/2021,Benjamin Collins MD,4,2,10
1133,MEX,09/07/2021,Claire Park,7,3,8
1134,UK,14/09/2021,Ryan Marquez,9,3,9
1135,UK,15/01/2021,Michelle Bradley,1,1,10
1136,UK,21/03/2021,Angela Perry,3,1,10
1137,US,15/09/2021,Stephanie Santos,9,3,10
1138,US,10/04/2021,Anita Kennedy,4,2,10
1139,US,04/08/2021,Breanna Fuentes,8,3,10
1140,MEX,18/10/2021,Teresa Price,10,4,8
1141,MEX,11/04/2021,Dr. Maureen Blackwell DVM,4,2,0
1142,UK,26/07/2021,Alice Rocha,7,3,8
1143,US,13/02/2021,Kelsey Khan,2,1,9
1144,MEX,30/11/2021,Jennifer Wall,11,4,9
1145,MEX,18/07/2021,Misty Buckley,7,3,3
1146,MEX,18/02/2021,Natalie Campbell,2,1,10
1147,MEX,06/03/2021,Brenda Carter,3,1,10
1148,MEX,03/06/2021,Tina Mitchell,6,2,0
1149,UK,22/11/2021,Elizabeth Schmitt,11,4,9
1150,US,15/08/2021,Michael Vasquez,8,3,10
1151,MEX,18/07/2021,Kirsten Smith,7,3,10
1152,UK,31/05/2021,Vincent Hardy,5,2,8
1153,US,15/12/2021,Julie Proctor,12,4,10
1154,US,01/04/2021,Mrs. Brittany Shepherd,4,2,8
1155,MEX,15/09/2021,Tonya Smith,9,3,8
1156,US,24/05/2021,Brian Wallace,5,2,3
1157,UK,23/05/2021,Wendy Hammond,5,2,9
1158,MEX,24/11/2021,Paul Pratt,11,4,10
1159,US,10/04/2021,Samantha Beck,4,2,6
1160,UK,18/05/2021,Christopher Kim,5,2,10
1161,MEX,24/07/2021,Mark Edwards,7,3,10
1162,US,29/10/2021,Clinton Sanders,10,4,8
1163,MEX,14/04/2021,William George,4,2,10
1164,MEX,26/08/2021,Nicole Rodriguez,8,3,8
1165,MEX,11/09/2021,Jonathan Mcdaniel,9,3,9
1166,MEX,08/06/2021,Micheal Castillo,6,2,10
1167,UK,28/07/2021,Edward Jimenez,7,3,6
1168,MEX,27/08/2021,Carl Adams,8,3,1
1169,US,19/12/2021,Rachel Ramsey,12,4,7
1170,US,24/06/2021,James Beard,6,2,2
1171,UK,30/03/2021,Clarence Ross,3,1,9
1172,MEX,03/08/2021,Colleen Ramirez,8,3,10
1173,UK,05/01/2021,Christina Lindsey,1,1,6
1174,UK,14/02/2021,Regina Gonzalez,2,1,10
1175,US,22/08/2021,Zachary Harvey,8,3,0
1176,UK,29/12/2021,Michelle Bowers,12,4,10
1177,UK,05/03/2021,Samantha Allen,3,1,8
1178,MEX,27/11/2021,Cory Hansen,11,4,5
1179,MEX,14/08/2021,Carlos Bridges,8,3,5
1180,US,16/04/2021,Rachel Massey,4,2,10
1181,UK,04/08/2021,Chad Bender,8,3,5
1182,UK,26/07/2021,Robert Fox,7,3,10
1183,UK,12/08/2021,Shawn Taylor,8,3,9
1184,US,04/10/2021,Rodney Kelley,10,4,1
1185,UK,20/11/2021,Timothy Carroll,11,4,2
1186,MEX,27/06/2021,Bruce Lane,6,2,0
1187,UK,02/08/2021,Jillian Rodriguez,8,3,5
1188,UK,24/09/2021,Chelsea Roth,9,3,2
1189,MEX,26/12/2021,Tony Middleton,12,4,10
1190,MEX,15/06/2021,Elizabeth Sanchez,6,2,7
1191,US,15/06/2021,Ashlee Hanson,6,2,7
1192,MEX,03/02/2021,Lorraine Fletcher,2,1,10
1193,UK,17/04/2021,Ryan Wood,4,2,1
1194,UK,17/07/2021,Katherine Best,7,3,8
1195,MEX,04/05/2021,Susan Cooley,5,2,10
1196,US,03/12/2021,Diana Thompson,12,4,10
1197,US,23/12/2021,Jonathan Harmon,12,4,9
1198,US,01/07/2021,Michael Leonard,7,3,8
1199,UK,05/08/2021,Martha Willis,8,3,10
1200,MEX,27/02/2021,Mason Scott,2,1,10
1201,UK,04/07/2021,Sergio White,7,3,0
1202,UK,21/07/2021,Michael Dillon,7,3,10
1203,US,05/07/2021,Robert Bush,7,3,1
1204,UK,20/03/2021,Kyle Schneider,3,1,3
1205,MEX,08/07/2021,Marc Lopez,7,3,8
1206,UK,12/11/2021,David Rogers,11,4,8
1207,UK,11/05/2021,Gilbert Lopez,5,2,10
1208,US,07/04/2021,Donald Alvarez,4,2,10
1209,UK,12/08/2021,Raymond Cruz,8,3,6
1210,US,09/05/2021,Andrea Keller,5,2,0
1211,US,21/11/2021,Jennifer Myers,11,4,9
1212,US,17/04/2021,Logan Calhoun,4,2,10
1213,UK,24/07/2021,Cynthia Bradley,7,3,10
1214,MEX,31/01/2021,Robert Yang,1,1,10
1215,UK,01/09/2021,Bryan Jimenez,9,3,10
1216,US,26/03/2021,Michelle Edwards,3,1,8
1217,MEX,26/01/2021,Eric Suarez,1,1,5
1218,MEX,30/01/2021,Jamie Hill,1,1,8
1219,US,28/01/2021,Jonathan Jones,1,1,5
1220,US,15/03/2021,Brandy Gonzalez,3,1,6
1221,US,06/06/2021,Michael Brown,6,2,9
1222,US,15/08/2021,Ray Taylor,8,3,4
1223,US,07/03/2021,Sarah Torres,3,1,10
1224,MEX,13/01/2021,Ryan Dudley,1,1,0
1225,UK,19/04/2021,Shawn Bailey,4,2,10
1226,US,18/03/2021,Andres Cooper,3,1,10
1227,UK,15/09/2021,Bryan White,9,3,0
1228,MEX,12/10/2021,Julie Ramirez,10,4,10
1229,UK,09/07/2021,Mark Lynn,7,3,8
1230,US,09/03/2021,Thomas Lopez,3,1,3
1231,US,08/11/2021,Stephen Adams,11,4,10
1232,UK,24/10/2021,Karina Collins,10,4,8
1233,US,14/05/2021,Nicole Wood,5,2,7
1234,US,11/08/2021,Thomas Wu,8,3,8
1235,MEX,24/04/2021,Robert Campbell,4,2,7
1236,MEX,15/09/2021,Alexis Baker,9,3,0
1237,US,19/02/2021,William Morgan,2,1,1
1238,US,28/10/2021,Kimberly Sandoval,10,4,6
1239,UK,18/09/2021,Stacey Davis,9,3,9
1240,US,26/07/2021,Nicole Sawyer,7,3,8
1241,US,17/06/2021,John Harris,6,2,10
1242,UK,09/07/2021,Michael Hall,7,3,10
1243,US,11/01/2021,Richard Smith,1,1,5
1244,MEX,10/12/2021,Lori Harris,12,4,7
1245,UK,19/05/2021,Daniel Faulkner,5,2,7
1246,MEX,01/04/2021,Loretta Hardy,4,2,8
1247,UK,29/09/2021,Anthony Oliver,9,3,3
1248,US,06/07/2021,Jessica Smith,7,3,1
1249,US,28/05/2021,Alison Martinez,5,2,10
1250,US,25/07/2021,David Miller,7,3,10
1251,UK,25/02/2021,Nancy Wells,2,1,10
1252,MEX,12/06/2021,Samantha Moore,6,2,10
1253,UK,17/06/2021,Brian Clayton,6,2,10
1254,MEX,12/05/2021,Chelsea Ruiz,5,2,8
1255,MEX,12/10/2021,Robert Hanson,10,4,10
1256,MEX,04/11/2021,Alexis Hamilton MD,11,4,0
1257,MEX,01/10/2021,Lindsey White,10,4,10
1258,MEX,24/07/2021,Benjamin Nelson,7,3,9
1259,MEX,11/10/2021,Michael Lucas,10,4,10
1260,US,07/11/2021,Kimberly Mack,11,4,8
1261,UK,25/11/2021,Kara Miller,11,4,2
1262,US,27/06/2021,David Richards,6,2,10
1263,MEX,07/10/2021,Jessica West,10,4,9
1264,UK,03/10/2021,Hayden Casey,10,4,10
1265,MEX,01/05/2021,Justin Roberts II,5,2,10
1266,MEX,16/11/2021,Chloe Norton,11,4,1
1267,UK,23/09/2021,Meredith Ortiz,9,3,10
1268,MEX,29/09/2021,Crystal Bird,9,3,10
1269,US,29/08/2021,Caitlin Hogan,8,3,10
1270,UK,23/02/2021,Sandy Stone,2,1,7
1271,UK,03/03/2021,James Black,3,1,3
1272,UK,22/09/2021,Corey Hayes,9,3,8
1273,US,22/08/2021,Andrew Esparza MD,8,3,1
1274,UK,24/06/2021,Trevor Brown,6,2,8
1275,UK,30/12/2021,Stephen Webb,12,4,4
1276,UK,27/01/2021,Alex Hamilton,1,1,10
1277,MEX,12/07/2021,April Valencia,7,3,8
1278,US,03/06/2021,Justin Hahn,6,2,8
1279,MEX,27/05/2021,Samuel Ross,5,2,10
1280,US,13/03/2021,Matthew Miller,3,1,2
1281,UK,01/07/2021,Sharon Petersen,7,3,9
1282,UK,18/07/2021,Jacqueline Rivera,7,3,8
1283,MEX,01/08/2021,Frank Henry,8,3,5
1284,US,21/10/2021,Thomas Mejia,10,4,0
1285,MEX,04/04/2021,Edward Gross,4,2,0
1286,MEX,08/01/2021,Travis Ortega,1,1,9
1287,US,29/12/2021,Jamie Oconnor,12,4,10
1288,MEX,19/01/2021,Peter Richardson,1,1,0
1289,US,23/08/2021,Matthew Wood,8,3,10
1290,MEX,26/08/2021,Shawn Martin,8,3,9
1291,MEX,24/07/2021,Matthew Burns,7,3,8
1292,UK,16/05/2021,Mark Robinson,5,2,10
1293,MEX,29/10/2021,Laura Taylor,10,4,0
1294,US,10/01/2021,Joshua Hughes,1,1,3
1295,MEX,24/02/2021,Timothy Lee,2,1,0
1296,UK,22/09/2021,Amanda Diaz,9,3,0
1297,UK,19/03/2021,Jeremy Frey,3,1,10
1298,MEX,27/02/2021,Terry Ibarra,2,1,8
1299,US,09/12/2021,Christopher Chavez,12,4,10
1300,MEX,20/02/2021,Thomas Turner,2,1,7
1301,MEX,30/04/2021,Sonya Stevens,4,2,10
1302,UK,16/05/2021,Dennis Lester,5,2,10
1303,MEX,10/09/2021,Jordan Garcia,9,3,10
1304,MEX,28/09/2021,Joy Joseph,9,3,10
1305,MEX,09/01/2021,Charles Miller,1,1,3
1306,US,27/05/2021,Kenneth Lopez,5,2,10
1307,MEX,02/04/2021,Joseph Cruz PhD,4,2,9
1308,US,03/06/2021,John Hughes,6,2,10
1309,MEX,06/10/2021,Matthew Morales,10,4,9
1310,MEX,11/10/2021,Dr. Kenneth Snyder Jr.,10,4,10
1311,UK,26/09/2021,James Jones,9,3,9
1312,UK,07/06/2021,Cheryl Gomez,6,2,10
1313,UK,14/08/2021,Nicole Cole,8,3,0
1314,US,16/11/2021,Susan Moore,11,4,10
1315,US,23/01/2021,Natalie Taylor,1,1,10
1316,MEX,09/03/2021,Michael Bailey,3,1,6
1317,MEX,23/07/2021,Lisa Hughes,7,3,9
1318,MEX,08/09/2021,Cheyenne Lewis,9,3,0
1319,MEX,12/03/2021,Carolyn Charles,3,1,5
1320,UK,25/11/2021,James Davis,11,4,10
1321,US,12/04/2021,Joe Taylor,4,2,8
1322,MEX,24/08/2021,Tracey Long,8,3,9
1323,UK,31/05/2021,Danny Bruce,5,2,5
1324,UK,26/07/2021,Jordan Duncan,7,3,9
1325,UK,24/03/2021,Jessica Stewart,3,1,10
1326,MEX,23/02/2021,Lindsey Schneider,2,1,1
1327,MEX,11/05/2021,Richard Cross,5,2,9
1328,US,20/11/2021,Rebecca Atkinson,11,4,10
1329,MEX,02/01/2021,Justin Sullivan,1,1,10
1330,US,25/07/2021,Sharon Wells,7,3,10
1331,US,16/08/2021,Jennifer Guzman,8,3,7
1332,MEX,09/08/2021,Michael Williams,8,3,9
1333,UK,01/08/2021,Christopher Morales,8,3,10
1334,MEX,06/11/2021,Kristen Bowers DDS,11,4,8
1335,UK,07/08/2021,Jasmine Fitzgerald,8,3,7
1336,UK,14/11/2021,Rebecca Flynn,11,4,10
1337,UK,25/08/2021,David Clark,8,3,10
1338,US,25/01/2021,Amy English,1,1,7
1339,US,17/02/2021,Clifford Dixon,2,1,10
1340,MEX,20/04/2021,Casey White,4,2,10
1341,UK,10/04/2021,Kimberly Hubbard,4,2,10
1342,MEX,22/02/2021,Candace Barrett,2,1,0
1343,MEX,12/08/2021,Mr. Tyler Carr,8,3,8
1344,MEX,30/07/2021,Rebecca Diaz,7,3,8
1345,US,19/09/2021,Marie Gordon,9,3,10
1346,US,16/02/2021,Bryan Moss DDS,2,1,5
1347,UK,30/08/2021,Shelly Giles,8,3,7
1348,MEX,22/02/2021,Donna Rowe,2,1,9
1349,UK,25/11/2021,Lisa West,11,4,10
1350,US,12/03/2021,Jay Dunn,3,1,0
1351,MEX,10/08/2021,Travis Jordan,8,3,10
1352,MEX,02/04/2021,Melissa Brewer,4,2,8
1353,MEX,14/08/2021,Edgar Vazquez,8,3,10
1354,MEX,28/03/2021,Thomas Wilson,3,1,8
1355,MEX,15/10/2021,David Lowery,10,4,0
1356,UK,01/01/2021,Ashley Gross,1,1,10
1357,UK,17/02/2021,Dylan Martin,2,1,9
1358,US,01/02/2021,Christopher Morrow,2,1,6
1359,UK,23/04/2021,Kathryn Carlson,4,2,9
1360,MEX,29/03/2021,Leslie King,3,1,8
1361,MEX,05/02/2021,Michelle Cooper,2,1,10
1362,US,22/12/2021,Jeremy Davis,12,4,9
1363,US,22/11/2021,Thomas Spencer,11,4,10
1364,UK,24/04/2021,Brian Lopez,4,2,7
1365,US,18/07/2021,Connor Sanford,7,3,1
1366,UK,18/11/2021,Erica Walters,11,4,8
1367,US,09/10/2021,Yolanda Carlson,10,4,0
1368,US,29/05/2021,Scott Carpenter,5,2,10
1369,UK,18/01/2021,Austin Williams,1,1,9
1370,UK,04/04/2021,Shane Dunlap,4,2,8
1371,MEX,16/06/2021,Keith Rojas III,6,2,10
1372,UK,10/11/2021,Andrew Oneal,11,4,9
1373,US,06/12/2021,Diana Fernandez DVM,12,4,1
1374,US,17/08/2021,Kimberly Shelton,8,3,10
1375,UK,18/09/2021,Andrew Austin,9,3,10
1376,MEX,06/07/2021,Thomas Butler,7,3,6
1377,UK,05/05/2021,Steven Mendoza,5,2,9
1378,UK,27/05/2021,Colton Parks,5,2,0
1379,US,17/01/2021,Laura Johnson,1,1,10
1380,UK,08/07/2021,Cynthia Rodriguez,7,3,5
1381,US,13/12/2021,Kathleen Wagner,12,4,1
1382,MEX,30/05/2021,Chris Heath,5,2,9
1383,UK,04/03/2021,Phillip Charles,3,1,10
1384,MEX,10/09/2021,Craig Ramsey,9,3,9
1385,MEX,03/11/2021,Virginia Rowe,11,4,10
1386,US,25/06/2021,Jennifer Brown,6,2,10
1387,UK,12/03/2021,Dawn Carpenter,3,1,10
1388,UK,22/12/2021,Patrick Lewis,12,4,10
1389,US,12/03/2021,Ryan Jones,3,1,10
1390,US,07/01/2021,David Mcclain,1,1,9
1391,UK,28/02/2021,Carl Rodgers,2,1,3
1392,UK,03/01/2021,Matthew Donaldson,1,1,8
1393,MEX,02/10/2021,Donna Benitez,10,4,7
1394,UK,12/12/2021,Ashley Russell,12,4,10
1395,MEX,14/08/2021,Kelly Dorsey,8,3,9
1396,MEX,24/06/2021,James Mclean,6,2,10
1397,UK,25/08/2021,Christopher Thomas,8,3,8
1398,MEX,28/06/2021,Kenneth Ward,6,2,5
1399,US,05/06/2021,Monique Wilson,6,2,0
1400,US,08/09/2021,Hannah Thompson,9,3,9
1401,MEX,30/04/2021,Miguel Rodriguez,4,2,10
1402,UK,06/08/2021,Kelly Lee,8,3,10
1403,US,23/04/2021,Margaret Bates,4,2,9
1404,MEX,14/09/2021,Alison Jones,9,3,10
1405,MEX,21/01/2021,Taylor Cooper,1,1,8
1406,MEX,16/12/2021,Kenneth Sawyer,12,4,0
1407,UK,25/10/2021,Jason Davis,10,4,10
1408,MEX,22/08/2021,Mark York,8,3,9
1409,US,25/12/2021,Raymond Nelson,12,4,10
1410,US,02/11/2021,Justin Miller,11,4,10
1411,MEX,20/11/2021,Timothy Salinas,11,4,0
1412,MEX,05/08/2021,Donna Mckay,8,3,10
1413,UK,19/08/2021,Donna Owens,8,3,10
1414,UK,11/01/2021,Stephen Watson,1,1,10
1415,US,04/09/2021,George Reid,9,3,10
1416,MEX,24/12/2021,Sheena Robinson,12,4,9
1417,MEX,26/07/2021,Ernest Moreno,7,3,9
1418,MEX,08/07/2021,Dr. Ashley Johnson DVM,7,3,9
1419,UK,13/01/2021,Michael Frost,1,1,10
1420,UK,13/11/2021,Charles Gutierrez,11,4,2
1421,UK,25/09/2021,Emily Medina,9,3,5
1422,UK,04/11/2021,Kevin Mullins,11,4,9
1423,UK,25/12/2021,Robert Gonzales,12,4,5
1424,MEX,22/10/2021,Samuel Cannon,10,4,9
1425,US,21/02/2021,Destiny Johnson,2,1,3
1426,MEX,29/08/2021,Evelyn Jackson,8,3,1
1427,MEX,17/06/2021,Steven Graham,6,2,9
1428,US,07/12/2021,Douglas Johnson,12,4,7
1429,UK,05/06/2021,Alyssa Harris,6,2,10
1430,US,30/11/2021,Stacey Williams,11,4,8
1431,MEX,29/11/2021,Shawn Miles Jr.,11,4,10
1432,UK,05/06/2021,Paula Jones,6,2,6
1433,US,02/08/2021,Jonathan Pierce,8,3,5
1434,UK,11/10/2021,John Smith,10,4,10
1435,UK,26/08/2021,Benjamin Martin,8,3,9
1436,UK,26/08/2021,Christina Williams,8,3,10
1437,MEX,18/03/2021,Stephen Meyer,3,1,10
1438,UK,04/11/2021,Michelle Wallace,11,4,9
1439,US,22/03/2021,David Khan MD,3,1,9
1440,MEX,17/08/2021,Yvonne Lee DDS,8,3,10
1441,UK,12/05/2021,Brian Wilson,5,2,0
1442,MEX,04/06/2021,Ryan Green,6,2,10
1443,UK,18/07/2021,Jennifer Jackson MD,7,3,6
1444,UK,07/03/2021,Anthony Smith,3,1,5
1445,MEX,07/01/2021,Leslie Wyatt,1,1,8
1446,US,24/04/2021,Michael Mercado,4,2,5
1447,MEX,21/06/2021,Kevin Scott,6,2,0
1448,UK,23/12/2021,Brenda Ramsey,12,4,9
1449,MEX,05/06/2021,Christopher Walker,6,2,10
1450,MEX,05/12/2021,Erin Archer,12,4,9
1451,MEX,29/10/2021,Sara Trujillo,10,4,2
1452,UK,18/02/2021,Sara Hawkins,2,1,2
1453,MEX,06/01/2021,Christopher Benjamin,1,1,10
1454,UK,15/01/2021,Brian Kelly,1,1,6
1455,US,14/11/2021,Joshua Drake,11,4,10
1456,MEX,26/08/2021,Justin Miranda,8,3,8
1457,MEX,10/04/2021,Mr. Jeff Brewer MD,4,2,0
1458,UK,29/07/2021,Alexander Miller,7,3,10
1459,UK,12/10/2021,Barbara Edwards,10,4,8
1460,MEX,18/08/2021,Shane Fisher,8,3,10
1461,UK,08/11/2021,Michael Lin,11,4,2
1462,UK,20/01/2021,John Vasquez,1,1,0
1463,US,01/01/2021,Donna Shea,1,1,8
1464,UK,16/04/2021,Jennifer Holloway,4,2,5
1465,UK,20/07/2021,Dillon Davis,7,3,9
1466,US,17/11/2021,Kristen Harris,11,4,5
1467,MEX,10/01/2021,Sandra Boyd,1,1,9
1468,MEX,06/07/2021,Kimberly Munoz DDS,7,3,0
1469,US,19/07/2021,Ronald Anderson,7,3,7
1470,UK,23/05/2021,Jessica Moore,5,2,9
1471,MEX,20/04/2021,Ashley Mccann,4,2,10
1472,UK,25/04/2021,Kaitlin Coleman,4,2,6
1473,MEX,30/01/2021,Michael Delacruz,1,1,10
1474,US,27/06/2021,Kelly Fox,6,2,10
1475,US,28/10/2021,Scott Wall,10,4,10
1476,US,03/12/2021,Adam Martin,12,4,0
1477,US,06/02/2021,Tracie Day,2,1,10
1478,UK,16/02/2021,Paul Vasquez,2,1,10
1479,US,14/02/2021,Carl Brown,2,1,10
1480,US,16/02/2021,Carol Cervantes,2,1,1
1481,US,26/01/2021,James White,1,1,1
1482,UK,17/01/2021,Wendy Anderson,1,1,5
1483,UK,20/01/2021,Brandon Johnson,1,1,10
1484,UK,19/11/2021,Amber Blackburn,11,4,6
1485,US,01/01/2021,Kelly Anthony,1,1,10
1486,MEX,17/04/2021,Kimberly Young,4,2,5
1487,MEX,22/05/2021,Amy Hall,5,2,8
1488,UK,11/10/2021,Michelle Johnson,10,4,9
1489,UK,06/07/2021,Amy Benton,7,3,3
1490,MEX,02/03/2021,Randall Meadows,3,1,2
1491,UK,17/11/2021,Christopher Hatfield,11,4,10
1492,UK,03/01/2021,Stephanie Saunders,1,1,10
1493,UK,02/10/2021,Jennifer Jones,10,4,5
1494,MEX,04/05/2021,Andrea Parks,5,2,0
1495,MEX,03/09/2021,Christina Whitaker,9,3,10
1496,MEX,19/09/2021,Dana Howard,9,3,10
1497,US,18/04/2021,Joseph Kent,4,2,10
1498,US,21/04/2021,Larry Wright,4,2,10
1499,UK,14/03/2021,Eileen Moore,3,1,10
1500,UK,19/02/2021,Deanna Bell,2,1,9
1501,UK,27/04/2021,Alexis Long,4,2,0
1502,MEX,12/06/2021,Mrs. Elizabeth Moore,6,2,8
1503,MEX,11/11/2021,Patricia Shannon,11,4,0
1504,MEX,26/03/2021,Heather Peterson,3,1,9
